repl1_input,repl1_high,repl1_med,repl1_low,repl2_input,repl2_high,repl2_med,repl2_low
89,96,67,52,119,125,72,99
52,47,46,16,152,158,138,163
66,69,68,23,6,2,5,0
25,24,28,18,6,2,4,1
149,156,150,22,0,0,0,0
34,31,27,47,40,37,27,9
98,97,126,42,21,14,9,11
154,160,144,9,15,8,8,17
148,141,130,143,199,236,195,14
53,75,65,30,46,48,40,153
44,37,44,20,212,273,242,249
73,67,57,34,4,1,1,0
85,112,90,60,73,64,46,12
122,146,132,26,104,85,109,35
263,240,255,163,17,12,13,0
0,0,0,0,5,3,8,3
12,16,18,16,194,163,180,276
71,79,64,87,19,19,18,14
486,584,438,60,32,38,41,61
36,35,36,4,20,14,24,9
46,52,52,108,0,0,0,0
70,61,87,27,65,64,66,91
48,58,51,0,28,42,21,20
107,136,106,11,363,294,374,45
15,16,15,3,40,37,40,27
0,0,2,0,82,102,108,44
126,123,152,48,46,59,42,13
240,268,191,209,10,12,11,3
0,0,0,0,280,262,285,181
201,230,185,377,26,25,19,13
85,89,69,156,15,18,16,24
28,30,30,17,3,1,3,7
0,0,0,0,1,0,1,1
612,528,692,696,0,0,0,0
266,282,278,210,227,180,261,37
32,33,37,5,11,14,5,15
31,28,36,9,54,60,47,28
175,189,188,114,0,5,1,2
0,0,0,0,2,0,0,0
170,208,153,89,157,158,165,26
8,10,6,6,308,291,291,84
35,33,36,17,19,17,20,4
27,22,18,20,10,19,20,3
265,266,289,51,0,0,0,0
94,80,114,12,199,203,202,496
14,17,15,7,102,105,114,12
76,86,80,55,8,9,8,5
0,0,0,0,25,20,17,40
338,362,360,431,0,0,0,0
102,70,129,7,44,44,53,5
164,130,151,131,0,0,0,0
10,10,12,2,26,38,19,20
598,581,627,272,39,25,38,12
25,34,17,41,73,82,74,48
6,7,10,3,0,0,0,0
160,183,157,328,243,239,234,115
0,0,0,0,109,111,80,164
318,296,383,187,27,20,29,11
0,0,0,0,14,4,11,0
24,16,19,6,0,0,0,0
0,0,0,0,106,149,74,5
0,0,0,0,253,271,295,180
104,90,103,135,139,160,105,181
64,67,61,59,236,232,237,92
115,82,117,138,80,56,82,18
78,103,82,80,264,279,251,95
208,195,180,31,189,219,189,379
375,500,343,255,44,49,57,4
2,3,4,0,59,66,71,34
9,5,5,3,126,129,123,119
0,0,0,0,65,43,72,12
0,3,0,2,166,159,153,23
188,180,159,374,53,66,50,24
24,20,24,36,82,65,77,53
0,0,0,0,173,166,207,78
23,19,25,20,29,31,28,19
158,177,155,109,20,32,24,18
717,662,772,92,180,266,132,160
5,7,8,4,326,327,335,421
68,44,75,5,11,6,13,2
93,119,69,201,141,169,146,60
63,66,75,3,10,9,7,14
2,6,4,4,374,373,420,233
88,104,87,92,181,210,193,47
27,33,35,16,212,219,206,376
23,24,35,13,135,125,153,37
55,50,77,16,18,24,19,10
373,444,342,415,46,39,58,50
148,158,122,84,15,18,7,5
10,7,8,10,19,28,15,37
21,29,29,6,0,0,0,0
0,0,0,0,82,118,99,38
0,0,0,0,202,231,209,3
27,28,22,4,0,0,0,0
70,79,69,141,82,82,87,27
268,250,258,39,20,29,19,9
128,116,125,144,197,157,223,48
4,8,6,1,47,56,54,80
9,4,7,2,93,86,59,127
11,6,4,0,11,12,12,4
6,7,7,2,208,216,173,138
0,0,0,0,60,40,66,86
49,51,78,5,0,0,0,0
221,202,207,51,257,265,218,161
450,527,429,816,140,99,135,140
56,55,41,22,6,1,2,5
219,198,170,104,249,290,239,41
319,361,331,594,52,53,71,12
133,138,87,99,67,76,70,79
42,24,42,36,0,0,0,0
173,189,139,81,150,163,93,51
88,89,66,87,174,142,184,91
12,16,12,2,211,229,163,94
7,12,9,3,70,72,64,7
45,38,53,20,0,0,0,0
2,2,0,1,34,18,20,12
116,114,119,8,300,333,352,27
19,22,30,13,0,0,0,0
300,289,308,114,11,16,13,5
0,0,0,0,49,44,47,96
0,0,0,0,32,30,45,4
575,575,707,563,439,356,532,60
54,67,54,47,267,300,238,87
228,240,232,127,329,375,308,90
404,426,323,238,307,328,280,187
82,109,88,34,90,81,135,109
0,0,0,0,671,888,577,120
87,96,72,14,219,249,245,22
167,180,174,164,0,0,0,0
279,267,280,169,40,47,51,17
189,160,167,133,34,32,40,29
134,177,160,70,483,538,411,456
7,9,9,2,108,91,75,157
491,456,491,328,0,0,0,0
93,117,78,11,16,10,16,3
81,53,98,42,367,382,330,121
105,99,97,9,3,2,4,9
95,99,124,76,0,0,0,0
314,309,289,799,0,0,0,0
4,4,4,0,290,274,298,130
36,36,33,28,232,226,272,1
93,123,65,36,0,0,0,0
205,201,193,263,0,0,0,0
58,61,61,14,82,85,70,148
45,39,36,42,20,20,18,16
0,0,0,0,201,242,196,304
4,1,7,8,283,296,281,115
66,44,60,12,311,333,308,280
186,178,186,275,8,8,7,2
43,38,54,44,27,31,32,30
25,26,33,33,49,59,36,11
689,608,703,225,7,10,6,5
177,177,200,63,148,130,151,24
361,454,389,63,21,22,23,11
11,15,19,21,255,336,206,73
191,177,171,181,411,433,477,113
10,4,10,1,0,0,0,0
0,0,0,0,39,42,38,16
36,30,22,8,0,0,0,0
0,0,0,0,255,201,341,104
0,1,0,0,62,79,58,48
53,67,33,1,104,103,122,77
48,43,45,34,41,71,45,59
0,0,0,0,118,94,100,85
274,328,250,379,11,10,11,2
101,104,110,24,157,124,128,13
3,6,3,1,487,527,380,123
31,30,20,3,15,10,18,24
154,161,118,1,316,308,306,27
0,0,0,0,413,465,451,147
488,463,445,1,315,309,369,70
9,4,14,4,172,163,213,66
26,28,38,43,232,193,252,55
44,40,51,140,6,6,8,3
4,10,9,1,23,23,23,8
0,0,0,0,189,121,208,228
62,45,48,0,17,24,14,2
755,798,769,286,0,0,0,0
74,73,64,81,3,4,1,0
6,4,6,4,72,72,89,26
34,34,39,14,34,47,46,10
0,0,0,0,6,6,2,5
275,272,256,118,93,79,98,84
15,6,29,7,4,3,2,0
36,43,47,10,227,163,198,89
0,0,0,0,55,49,55,29
4,4,7,7,71,57,69,5
127,106,172,81,182,173,172,257
134,147,126,63,144,143,164,96
11,6,11,6,2,2,10,0
140,165,151,54,11,2,3,4
0,0,0,0,338,440,306,272
11,22,22,14,33,14,19,41
92,106,114,34,12,14,16,18
12,12,13,5,3,5,3,2
0,0,0,0,121,120,115,17
383,422,339,54,342,325,359,307
0,0,0,0,0,0,0,0
3,4,2,2,150,193,131,108
20,16,14,2,35,31,28,54
243,209,201,137,1,1,1,0
207,190,211,39,95,77,86,22
230,298,221,47,74,68,77,38
0,0,0,0,0,0,0,0
271,278,231,101,14,7,6,3
250,163,262,313,4,1,4,1
0,0,0,0,155,152,151,75
0,0,0,0,338,289,353,177
523,588,456,185,12,6,8,8
0,0,0,0,45,55,49,61
0,0,0,0,14,15,18,12
9,9,16,1,291,260,318,187
45,43,33,14,141,169,142,91
0,0,0,0,0,0,0,0
220,248,187,91,26,23,34,1
0,0,0,0,1,2,0,0
199,186,155,266,19,11,10,6
1,1,2,1,127,96,126,126
93,101,94,123,0,0,0,0
0,0,0,0,38,35,32,22
61,55,71,5,91,94,109,101
0,0,0,0,45,44,63,67
4,3,6,1,99,89,76,63
150,170,108,59,14,13,15,11
45,58,55,8,0,0,0,0
84,98,97,26,39,41,32,15
2,5,4,6,80,93,98,70
21,17,19,13,30,27,30,33
162,163,183,119,316,350,277,310
56,74,59,13,0,0,0,0
51,57,53,13,96,94,79,89
58,75,81,11,16,15,10,4
7,7,6,0,15,23,16,19
8,7,5,9,11,29,18,8
1,1,0,2,19,16,16,29
2,1,3,5,85,62,106,87
10,5,5,3,273,292,285,233
158,183,162,40,97,89,123,55
1,1,1,1,290,339,298,170
74,92,65,48,61,67,77,30
0,0,0,0,26,17,22,17
0,0,0,0,281,288,232,79
48,65,58,61,66,50,68,26
26,35,31,59,13,16,19,20
0,0,0,0,169,160,192,216
365,342,434,541,91,84,120,5
85,104,72,72,80,84,65,62
0,1,0,2,7,2,4,0
1,1,1,1,351,311,383,147
62,73,67,12,7,5,1,1
1,2,0,0,47,47,58,7
11,14,9,5,96,121,90,34
1,0,1,0,88,111,95,74
5,1,2,0,61,80,63,0
70,54,49,41,34,36,29,20
0,1,2,4,61,55,107,14
3,3,2,1,10,7,14,5
0,0,0,0,0,1,1,0
254,245,295,381,28,29,46,15
37,22,23,8,34,24,34,74
1,3,5,0,407,408,422,181
12,19,16,4,65,79,83,7
164,119,218,48,61,57,57,40
195,174,200,173,2,1,2,2
428,499,324,164,0,0,0,0
11,19,8,21,210,209,265,73
0,0,0,0,166,195,141,27
400,414,439,36,3,4,6,2
42,49,43,10,3,6,1,2
64,71,50,15,346,388,304,12
0,0,0,0,27,17,23,6
10,7,1,2,0,0,0,0
38,29,49,6,7,11,4,4
566,499,568,435,12,13,5,0
57,54,56,47,140,140,209,57
239,292,213,25,129,143,146,16
67,83,65,116,62,68,58,6
55,60,63,16,235,253,203,88
139,118,140,81,253,308,218,313
146,169,119,29,0,0,0,0
121,129,137,111,0,0,0,0
370,426,389,209,61,48,44,20
3,8,2,1,1,1,1,0
12,10,5,1,128,138,89,47
37,31,26,54,33,26,23,9
0,0,0,0,149,155,125,202
1,8,2,1,29,40,30,49
0,0,0,0,37,37,57,52
0,0,0,0,13,4,14,45
308,310,303,61,0,0,0,0
3,2,2,0,323,430,278,208
17,23,16,6,97,85,109,13
0,0,0,0,0,0,0,0
367,392,384,743,171,205,126,463
0,0,0,0,33,24,32,58
175,165,192,391,403,401,312,731
0,0,0,0,258,250,232,572
177,154,168,125,214,190,233,331
17,21,14,19,10,8,9,15
10,7,12,22,5,7,6,8
0,0,0,0,9,15,13,15
183,208,175,164,38,51,44,139
0,0,0,0,262,249,311,294
163,164,166,258,46,47,42,109
180,174,185,89,3,4,9,4
22,32,19,72,0,0,0,0
27,28,23,14,57,61,56,91
83,77,98,296,12,9,3,20
481,550,392,970,54,44,54,37
16,20,19,16,21,17,15,20
374,355,396,457,20,26,13,24
67,73,75,163,30,27,37,67
1,0,0,2,126,138,118,488
346,380,309,471,28,21,27,44
0,0,0,0,24,27,20,40
0,0,0,0,419,425,415,512
74,93,75,69,228,223,168,339
89,108,72,104,96,88,73,54
352,338,335,997,73,76,68,97
42,56,52,64,85,98,105,202
0,0,0,0,100,101,116,215
162,186,121,113,191,209,227,404
0,0,0,0,0,0,0,0
40,45,38,32,0,0,0,0
48,49,36,41,117,116,115,157
0,0,0,0,10,12,10,11
15,11,15,35,49,40,34,83
336,356,390,407,0,0,0,0
53,46,67,150,0,0,0,0
56,50,64,184,226,262,226,484
0,0,0,0,204,227,167,146
3,2,0,2,12,8,7,18
4,3,8,1,76,76,95,81
19,22,9,34,84,84,78,132
65,67,57,207,228,213,264,195
54,51,54,79,0,0,0,0
8,13,7,10,0,0,0,0
39,40,42,79,1,4,2,6
284,296,278,342,46,49,36,100
73,91,80,26,135,142,115,193
74,59,84,130,140,125,140,196
21,14,26,79,62,57,53,78
43,47,43,103,216,237,212,351
0,0,0,0,0,0,0,0
26,16,32,100,26,28,25,33
84,96,88,83,223,207,225,489
459,409,507,330,15,17,15,8
33,25,34,37,191,199,188,266
310,354,270,487,153,164,142,363
56,83,73,97,129,135,151,111
133,142,153,154,82,81,86,153
9,4,4,3,93,76,111,59
20,27,36,12,0,0,0,0
10,19,10,17,35,44,32,6
232,213,221,144,0,0,0,0
21,9,21,10,9,2,4,4
72,59,88,65,83,98,81,115
179,210,158,97,69,80,68,17
44,52,62,40,26,26,21,1
5,2,1,4,103,94,96,200
69,55,60,14,22,14,13,8
24,33,14,27,241,231,258,366
22,19,18,9,21,31,25,23
236,193,259,584,57,62,39,8
107,113,111,77,298,236,349,75
2,1,1,1,0,0,0,0
67,58,60,85,101,117,89,183
37,25,26,55,28,28,29,24
0,0,0,0,201,253,164,31
54,94,71,73,47,54,55,73
84,101,73,51,202,186,192,54
18,19,20,0,0,0,0,0
16,12,15,0,381,384,354,54
0,0,0,0,0,0,0,0
222,240,292,77,197,200,260,118
58,54,82,77,2,2,8,1
48,38,45,15,728,586,840,519
171,196,154,43,33,40,18,0
0,0,0,0,11,19,15,6
69,108,72,60,3,6,0,4
22,16,20,17,0,1,1,0
80,70,81,205,18,10,7,16
26,29,23,21,9,8,3,0
198,163,185,106,17,24,36,8
218,207,243,159,194,199,227,43
172,144,184,135,11,3,13,4
181,169,197,22,0,0,0,0
426,509,382,419,165,212,156,109
1,1,0,0,8,16,4,5
70,81,83,69,0,0,0,0
13,13,13,2,1337,1435,1185,1344
0,0,0,0,118,102,86,232
6,10,7,2,1,0,1,0
0,0,1,0,196,203,228,32
202,189,194,130,35,25,32,8
582,566,579,437,0,0,0,0
79,75,96,107,72,85,82,7
57,60,62,17,102,85,111,25
46,48,57,59,65,51,53,18
40,23,47,15,18,13,12,43
19,22,23,15,0,0,0,0
74,74,106,90,122,137,108,241
0,0,0,0,142,120,155,33
198,181,240,39,45,34,34,13
3,2,1,5,21,18,25,7
1,4,2,2,9,6,18,8
50,37,32,48,456,556,351,707
0,0,0,0,91,85,83,64
97,85,87,31,130,102,147,74
521,467,566,629,29,25,27,21
98,133,137,149,218,229,210,110
4,7,7,5,0,0,0,0
574,494,671,26,167,136,183,49
0,0,0,0,120,121,108,59
0,0,0,0,395,484,331,39
213,165,232,4,321,323,309,142
49,52,71,9,81,64,86,76
208,213,200,233,15,14,13,12
0,0,0,0,6,1,3,1
0,1,2,0,303,262,313,155
157,167,134,61,284,257,321,52
0,3,3,1,110,89,144,152
17,31,12,7,31,44,37,84
583,524,587,33,1,1,0,0
141,146,138,43,141,157,171,125
58,44,53,81,441,431,505,406
178,169,160,314,239,251,207,163
415,367,394,104,0,1,1,0
290,305,301,189,62,81,81,33
48,49,35,49,16,10,9,18
1,0,1,0,36,40,37,26
30,23,22,14,74,99,95,12
139,145,129,102,22,30,31,9
3,1,3,0,395,330,367,56
80,65,73,101,130,100,140,27
33,26,33,0,22,24,22,39
64,50,66,36,27,32,26,9
8,1,4,3,8,2,6,1
82,76,83,12,0,1,3,2
109,87,80,11,0,0,0,0
119,99,117,75,0,0,0,0
449,519,323,64,213,193,203,327
0,0,0,0,0,0,0,0
392,434,415,245,102,126,124,24
73,80,74,25,195,180,247,139
0,0,0,0,29,20,27,13
207,234,166,106,158,171,181,61
64,86,57,22,96,152,84,222
17,7,17,6,86,91,66,94
358,416,390,26,53,54,50,56
1,0,2,0,6,2,4,0
38,35,42,2,128,143,126,42
17,20,13,11,55,43,61,32
143,166,120,192,34,38,38,15
149,164,137,77,57,50,67,55
54,44,62,6,349,328,407,200
2,4,1,3,21,19,23,2
130,99,157,110,371,314,355,287
102,97,110,17,285,256,274,30
67,63,87,50,367,312,436,635
363,335,350,564,609,650,629,250
101,92,89,113,26,48,29,30
1,2,3,0,296,316,333,561
21,7,15,31,22,14,12,3
293,300,328,42,19,16,17,7
0,0,0,0,281,271,285,220
8,8,8,5,93,90,115,38
147,162,168,27,1,1,1,1
13,20,24,14,9,9,10,11
101,115,99,36,0,0,0,0
90,77,83,60,3,2,0,1
188,212,219,89,33,29,34,10
237,247,272,23,3,3,2,0
98,95,122,3,250,189,297,248
18,21,11,9,0,0,0,0
226,231,186,337,93,127,96,75
49,41,35,16,182,155,146,87
19,15,10,3,1,1,0,1
1,1,5,0,26,24,21,0
0,0,0,0,6,7,11,7
3,4,9,0,3,2,2,1
14,19,19,8,150,160,154,89
307,307,275,101,193,175,234,259
20,23,21,10,0,0,0,0
272,317,288,203,213,216,214,113
46,37,42,75,0,0,0,0
106,97,96,112,35,34,32,4
39,38,31,13,25,24,38,20
23,21,18,28,92,107,77,48
11,10,13,2,0,0,0,0
217,225,215,293,0,2,3,3
215,182,259,211,62,58,69,17
0,0,0,0,46,52,47,14
67,61,77,147,131,107,142,22
14,15,24,7,29,40,39,43
9,10,13,8,91,104,110,25
104,105,92,97,0,0,0,0
8,4,8,0,92,79,75,182
64,53,76,71,180,182,191,8
201,197,243,117,66,84,57,16
0,0,0,0,118,89,132,216
515,552,529,220,9,5,6,6
0,0,0,0,0,1,1,1
394,340,456,152,0,0,0,0
1,0,2,1,51,53,50,40
0,0,0,0,465,406,470,215
6,11,11,12,412,444,351,589
107,123,72,80,184,200,238,37
300,290,275,44,38,42,39,7
67,81,50,11,511,512,501,554
6,2,6,1,127,105,122,24
0,0,0,0,23,36,47,91
101,80,111,38,0,0,0,0
102,57,149,61,0,0,0,0
42,46,40,36,10,7,16,2
73,62,84,6,0,0,0,0
5,5,11,16,60,70,47,25
309,312,294,144,0,0,0,0
187,147,200,185,36,45,49,28
22,23,23,4,53,40,56,58
20,19,18,7,284,336,226,115
44,59,37,15,136,121,123,53
100,96,118,89,100,81,135,75
47,72,67,32,34,24,30,36
148,154,118,228,0,2,2,0
12,12,9,7,237,226,215,69
5,11,7,10,414,347,455,59
52,30,46,54,129,121,113,22
18,7,9,16,1,0,1,0
342,369,319,6,194,192,246,3
163,156,134,52,14,25,7,7
0,0,0,0,203,187,162,384
27,27,23,7,16,16,23,3
85,65,113,23,15,10,14,18
0,0,0,0,0,0,0,0
19,11,21,4,24,30,25,5
240,216,241,243,18,20,27,46
1,2,2,1,3,0,3,0
25,18,15,24,176,214,174,128
5,5,2,1,18,14,18,15
26,29,29,14,105,111,108,2
0,0,0,0,155,200,153,70
74,104,84,71,157,139,126,28
100,86,86,99,2,3,2,1
81,80,87,75,0,0,0,0
211,224,234,62,0,0,0,0
265,318,214,93,20,24,14,23
18,15,21,15,252,254,259,195
90,108,84,94,0,0,0,0
0,0,0,0,384,364,454,256
20,21,28,7,0,0,0,0
136,111,109,89,48,30,31,5
0,0,0,0,180,189,179,34
91,86,83,21,144,148,120,37
4,2,0,1,37,36,33,9
92,86,105,89,67,62,61,96
144,150,180,111,17,18,20,20
196,195,222,98,322,315,352,164
0,0,0,1,273,246,261,351
9,12,7,0,114,136,124,86
109,115,111,29,13,20,12,0
404,373,408,516,216,176,249,44
118,114,121,122,92,91,110,25
40,47,27,32,221,207,237,292
74,106,72,53,10,7,12,4
12,9,13,5,342,416,319,140
0,0,0,0,0,0,0,0
209,225,196,193,312,251,289,149
0,0,0,0,51,67,43,102
11,22,19,5,17,14,17,2
103,92,116,114,51,44,32,56
0,0,0,0,127,111,118,20
184,198,140,337,269,300,256,65
255,205,262,206,19,14,22,37
320,294,342,166,180,194,136,205
94,94,96,125,0,0,0,0
70,90,84,153,197,183,193,156
1,2,3,0,1,1,1,0
95,96,93,147,9,7,8,12
27,37,35,40,94,85,91,29
14,12,17,13,76,85,92,28
46,58,42,13,58,51,61,16
0,0,0,0,392,431,418,283
117,101,98,109,7,12,13,8
0,0,0,0,0,0,0,0
331,312,394,37,127,150,135,5
56,61,75,38,37,18,54,61
34,35,28,16,0,0,0,0
0,0,0,0,35,35,65,12
11,14,15,6,182,174,193,98
1,2,0,0,0,0,0,0
0,0,0,0,0,0,0,0
538,418,726,459,0,0,0,0
72,108,80,20,66,83,81,113
30,22,30,32,4,3,2,2
48,49,54,53,441,385,497,30
348,310,334,135,0,0,0,0
0,0,0,0,18,18,29,3
53,54,59,71,0,0,0,0
33,47,37,32,22,27,37,27
222,209,241,74,19,17,22,10
28,32,14,29,0,0,0,0
72,89,49,28,4,6,6,3
0,6,3,1,121,130,104,12
142,201,143,8,48,27,45,81
15,17,13,1,4,2,5,2
85,91,102,99,140,148,139,21
56,71,63,3,24,18,16,16
0,0,0,0,69,75,69,75
152,160,181,33,58,49,53,116
0,0,0,0,32,21,46,5
95,122,72,17,23,22,23,49
72,64,71,117,6,3,5,5
62,50,57,57,139,168,148,96
32,34,19,2,62,77,91,103
2,2,2,0,15,14,15,4
0,0,0,0,0,0,0,0
357,369,333,321,319,248,316,122
32,29,34,1,189,173,201,285
474,520,433,61,60,64,40,74
67,70,76,9,106,119,109,98
591,571,672,191,181,151,173,220
20,21,13,26,80,95,86,71
2,0,3,0,265,284,196,47
0,0,0,0,109,118,132,31
57,56,58,53,27,42,46,77
200,235,192,231,110,129,123,18
48,45,54,18,17,8,12,0
37,47,45,45,13,17,6,5
73,64,81,23,0,0,0,0
35,38,57,24,306,335,227,38
25,24,26,8,382,417,470,279
159,199,149,88,263,220,279,168
40,63,26,111,429,377,466,77
12,14,13,10,221,245,255,26
61,63,57,92,596,565,658,200
279,316,259,84,10,11,10,19
59,58,42,25,26,24,38,12
9,9,12,5,41,33,40,34
185,196,142,169,188,186,187,293
25,27,17,18,0,0,0,0
73,69,76,6,15,18,12,19
0,0,0,0,285,286,290,480
90,91,106,121,113,143,119,186
130,86,125,84,0,0,0,0
66,60,87,5,174,154,154,11
215,224,236,93,189,202,237,44
16,13,23,17,72,69,71,32
14,22,9,8,458,479,411,39
756,635,784,1327,366,301,398,462
81,89,100,45,157,158,146,146
10,11,9,4,3,4,5,3
0,0,0,0,141,114,131,62
214,209,244,88,249,301,262,22
16,11,15,21,22,13,10,2
1120,1141,1137,151,107,137,123,32
0,1,0,1,290,295,300,456
1,0,0,0,72,53,74,13
38,30,45,44,6,8,2,1
142,110,180,122,108,98,122,41
137,154,137,77,21,34,24,2
56,49,41,55,16,7,17,2
133,147,111,33,34,35,38,14
129,117,157,118,489,498,556,8
224,268,182,176,0,0,0,0
165,129,176,161,459,428,517,101
576,694,451,764,30,29,27,20
79,87,103,87,350,297,391,496
0,0,0,0,193,169,237,44
106,64,124,217,94,104,94,58
79,77,90,50,83,68,76,45
29,39,29,6,208,173,224,174
514,515,472,341,357,434,353,441
222,265,187,188,64,59,52,106
0,0,0,0,25,27,24,12
86,105,73,122,15,16,14,12
89,96,84,90,156,150,170,70
45,51,47,29,29,20,23,10
537,510,571,294,230,173,249,111
493,490,457,363,473,505,406,234
396,365,449,251,8,8,7,3
139,132,120,152,0,0,0,0
128,134,136,4,17,19,21,11
1,4,4,2,95,113,83,38
278,228,266,34,74,90,64,17
8,7,7,5,115,86,120,230
32,23,31,8,62,70,85,12
129,106,136,197,15,24,25,18
299,292,257,738,14,10,12,4
511,602,473,527,3,0,2,0
94,97,77,53,104,120,131,112
120,105,142,346,18,24,12,4
52,63,46,8,18,27,10,7
15,21,17,8,0,0,0,0
108,98,105,92,33,31,40,3
11,12,17,14,0,0,0,0
102,94,115,35,0,0,0,0
5,8,7,9,53,49,61,0
38,30,26,10,74,72,72,119
428,399,499,120,327,372,262,88
257,281,324,1,0,0,0,0
141,151,121,127,10,7,13,2
4,7,7,4,277,251,303,143
9,15,7,0,101,109,77,47
104,122,137,91,0,0,0,0
191,192,185,172,4,6,10,4
7,11,10,8,0,0,0,0
44,54,40,99,59,51,59,85
261,303,245,39,517,472,583,470
121,103,119,180,209,189,204,43
35,26,30,68,314,256,373,230
0,0,0,0,132,93,166,60
51,50,58,15,0,2,3,0
3,9,2,6,0,0,0,0
21,13,10,15,11,8,1,0
92,111,75,26,113,120,127,77
42,25,18,9,278,267,282,27
32,38,20,16,55,77,55,44
95,95,69,55,2,3,6,1
143,158,169,36,0,1,0,4
10,15,9,24,2,8,7,3
31,34,33,26,1,0,1,0
144,143,134,137,18,15,16,8
57,73,68,57,0,0,0,0
53,54,46,13,1,0,1,0
29,28,38,52,136,158,130,59
34,52,58,7,0,0,1,0
92,78,70,40,12,11,9,10
27,34,27,15,85,101,82,21
41,44,55,43,26,22,25,8
8,7,9,2,1,2,2,1
9,10,7,0,116,92,105,8
954,877,1189,303,161,179,109,131
180,144,209,81,88,107,85,91
73,94,64,61,126,139,113,88
290,276,342,119,1,0,2,0
163,126,133,337,104,85,77,29
45,43,40,16,49,57,72,40
20,27,13,10,61,40,47,27
78,76,87,24,251,235,245,117
195,227,187,415,8,6,8,2
86,106,77,4,51,50,60,26
25,25,24,30,0,0,0,0
58,47,64,15,0,0,0,0
219,268,172,248,92,79,88,46
130,116,124,241,46,36,52,26
0,0,0,0,63,45,85,39
70,57,98,30,154,170,155,33
49,44,61,54,35,18,45,29
79,86,89,39,467,528,456,412
24,25,29,13,7,6,14,0
3,4,4,4,118,116,121,29
369,256,394,205,17,17,14,35
0,0,0,0,1,1,5,0
83,57,92,93,87,97,78,28
0,0,0,0,37,45,35,32
10,12,10,12,322,280,363,138
27,36,32,35,0,0,0,0
250,330,232,267,7,8,6,13
26,15,28,10,0,0,0,0
434,514,386,245,4,3,5,1
2,3,2,0,15,11,18,4
283,213,297,60,0,0,0,0
29,30,27,7,9,10,11,1
2,1,2,1,30,37,45,53
2,5,1,2,67,67,101,85
86,74,89,46,7,3,4,6
96,78,108,112,83,81,73,83
126,164,107,259,2,5,4,0
415,354,329,48,209,157,185,21
2,4,2,1,98,97,86,12
249,285,263,279,184,200,130,152
263,278,240,78,37,34,40,17
0,0,0,0,0,0,0,0
56,60,64,11,59,72,62,25
175,202,148,314,3,1,3,0
83,67,88,5,24,24,29,38
13,15,10,6,845,823,808,82
26,33,31,13,0,0,0,0
204,174,226,217,3,4,3,0
93,107,74,2,24,28,27,12
37,35,28,1,165,146,156,34
148,169,161,137,2,0,3,2
27,39,31,4,37,32,29,15
64,69,93,48,62,55,70,24
193,182,174,49,60,71,67,45
37,37,45,24,100,118,82,33
209,195,248,21,0,0,0,0
34,29,25,10,0,0,0,0
482,484,449,195,152,168,98,73
110,113,108,187,51,80,57,100
68,71,60,9,20,14,21,12
1,1,1,0,272,333,280,34
512,487,491,821,19,16,17,2
60,60,77,41,7,7,6,1
0,0,0,0,0,0,0,0
8,9,6,8,287,231,336,538
